WrdEngID	WrdEng
1390	attraction
1391	repulsion
1392	repel
1393	repelled
1394	assume
1395	uneasy
1396	plant
1397	separation
1398	interested
1399	dugdugi
1400	nor
1401	concentrate
1402	liquid
1403	known
1404	stranger
1405	Husori
1406	body part
1407	occasional
1408	outer space
1409	wing
1410	surprise
1411	doubtful
1412	famine-stricken
1413	tiredness
1414	tire
1415	deadly
1416	tea strainer
1417	reality
1418	chanting
1419	chant
1420	increase
1421	old
1422	shaken
1423	highest
1424	solar
1425	exercise
1426	seat
1427	yoga
1428	confuse
1429	flute
1430	tune
1431	glint
1432	powerful
1433	past
1434	astrology
1435	arrive
1436	developed
1437	happiness
1438	complex
1439	divided
1440	forceful
1441	administrated
1442	mention
1443	good path
1444	skip
1445	unclear
1446	strong
1447	for the time being
1448	fog
1449	dew
1450	cloud
1451	savior
1452	landslide
1454	mining
1455	coal
1456	united
1457	insecurity
1458	chaotic
1459	eleven
1460	thirteen
1461	one of many
1462	defeated
1463	greed
1464	gather
1465	description
1466	spectrum
1467	clear
1468	circumference
1469	diameter
1470	center
1471	point
1472	ellipse
1473	teeth
1474	good luck
1475	thigh
1476	nice
1477	control
1478	opportunity
1479	agree
1480	protection
1481	scientist
1482	investigation
1483	discover
1484	face
1485	instant
1486	hesitation
1487	oxygen
1488	acid
1489	leisure
1490	mathematician
1491	frightening
1492	interesting
1493	visual
1494	observation
1495	designated
1496	designate
1497	mitigated
1498	mitigation
1499	repugnant
1500	nom-deplume
1501	priceless
1502	hut
1503	name-plate
1504	plate
1505	limited
1506	wear
1507	gentleman
1508	lady
1509	majestic
1510	sight
1511	distasteful
1512	ritual
1513	accordingly
1514	know
1515	inform
1516	proximity
1517	fourteen
1518	fifteen
1519	sixteen
1520	swim
1521	eighteen
1522	ninteen
1523	twenty
1524	suspend
1525	suspended
1526	retire
1527	retired
1528	rest
1529	legislative assembly
1530	compound
1531	fundamental
1532	short
1533	correct
1534	criticism
1535	ruler
1536	administrator
1537	administrative
1538	unavoidable
1539	legislative
1540	inauguration
1541	incapable
1542	inevitable
1543	crippled
1544	Nicotiana Tabacum
1545	devotion
1546	legality
1547	illegality
1548	give
1549	phenomenon
1550	nonaligned
1551	succeed
1552	success
1553	nomination letter
1554	submission
1555	weather
1556	disable
1557	challenged
1558	yellow wagtail
1559	employment
1560	employ
1561	commission
1562	evil
1563	nearness
1564	opportunist
1565	knowledge
1566	wrangling
1567	socialism
1568	socialist
1569	defeat
1570	prevention
1571	restlessness
1572	retain
1573	attentive
1574	skillful
1575	ministry
1576	responsible
1577	responsibility
1578	amazed
1579	repulsive
1580	capable
1581	equation
1582	emergency
1583	emergency period
1584	leader
1585	meaning
1586	exploited
1587	welfare
1588	toil
1589	trace
1590	conference
1591	capability
1592	owner
1593	dock
1594	unclean
1595	patient
1596	scheduled
1597	caste
1598	scarcity
1599	scarce
1600	forest area
1601	birth
1602	around
1603	fit
1604	mad
1605	grand
1606	decide
1607	feasible
1608	decrease
1609	decreased
1610	sheep
1611	branch
1612	surprising
1613	ready
1614	preparation
1615	round
1616	curd
1617	ploughing
1618	tolerate
1619	musical scale
1620	factory
1621	pancreas
1622	hidden
1623	appear
1624	commoner
1625	reproduction
1626	adult
1627	notable
1628	recent
1629	hunter
1630	evolution
1631	change
1632	endurance
1633	globe
1634	hemisphere
1635	heir
1636	endure
1637	bear
1638	occupation
1639	occupy
1640	save
1641	savings
1642	suitable
1643	tolerance
1644	immediately
1645	ability
1646	be able
1647	image
1648	class
1649	stand up
1650	bearing
1651	legacy
1652	rabbit
1653	equator
1654	workshop
1655	post
1656	tobacco
1657	taxi
1658	yogurt
1659	tent
1660	telegraph
1661	grant
1662	stream
1663	steam
1664	police station
1665	nomad
1666	animal resource
1667	closeness
1668	threaten
1669	governor
1670	fatal
1671	licence
1672	envoy
1673	discrimination
1674	contagious
1675	boxer
1676	custody
1677	curriculum
1678	debt
1679	debtor
1680	coil
1681	paragraph
1682	colony
1683	sudden
1684	casual
1685	cash
1686	share
1687	tree
1688	botany
1689	seed
1690	bankruptcy
1691	puglist
1692	bioinformatics
1693	Durga
1694	sacrifice
1695	absence
1696	absent
1697	accident
1698	advisor
1699	aeronaut
1700	anchor
1701	annual
1702	anniversary
1703	appendix
1704	animal
1705	silica
1706	mica
1707	marriage
1708	married
1709	marriageable
1710	union
1711	medicine
1712	oath
1713	obsolete
1714	obscene
1715	shameless
1716	shy
1717	vow
1718	guard
1719	surround
1720	fall short
1721	deficit
1722	conquered
1723	inadequacy
1724	tribe
1725	community
1726	gender
1727	struggle
1728	wild
1729	woodland
1730	pupil
1731	journey
1732	alphabet
1733	switch
1734	expel
1735	distribution
1736	distribute
1737	spoiled
1738	gun
1739	suction
1740	suck
1741	easily
1742	trouble
1743	beginning
1744	exchange
1745	consider
1746	message
1747	immediate
1748	glory
1749	that is
1750	determined
1752	bell
1753	height
1754	busy
1755	performance
1756	cosmology
1757	button
1758	abundant
1759	stage
1760	expulsion
1761	expelled
1762	devastated
1763	unlaw
1764	resource
1765	exploiter
1766	exploit
1767	self-respect
1768	rebel
1769	rebellion
1770	transformed
1771	between
1772	constituency
1773	triangular
1774	continuation
1775	special
1776	settlement
1777	publication
1778	traveller
1779	pathetic
1780	opposite
1781	times
1782	fame
1783	division
1784	counter
1785	coming
1786	held
1787	hero
1788	heroism
1789	fearless
1790	verandah
1791	serve
1792	fallen
1793	childish
1794	starting
1795	recognise
1796	rehearsal
1797	greatness
1798	i.e.
1799	demostration
1800	behaviour
1801	ruined
1802	expectation
1803	hostility
1804	odessey
1805	pitiful
1806	surely
1807	cut
1808	bravery
1809	supremacy
1810	earlier
1811	sonless
1812	dignity
1813	presentation
1814	dug up
1815	wandering
